Price,Close,High,Low,Open,Volume,RSI,EMA12,MACD,Signal_Line,Signal
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,
Date,,,,,,,,,,
2024-04-17,154.73025512695312,156.33259514906842,153.84449046790715,154.87953533334849,21763100,,154.73025512695312,0.0,154.73025512695312,0.0
2024-04-18,155.26766967773438,156.19325246003623,153.88428416601494,154.6008594858019,19883000,,154.81293428861179,0.04287067641558906,154.83773803710938,0.0
2024-04-19,153.3568115234375,155.6160147529958,151.57533531126506,155.45677241386718,32239100,,154.5889154016619,-0.07646287062624424,154.54155273437502,0.0
2024-04-22,155.53639221191406,156.88992171020138,153.32695413108942,153.5757645889644,26446200,,154.73468106477762,0.004783241406073557,154.74052062988284,0.0
2024-04-23,157.5069580078125,158.21358635071638,155.53638354340058,156.21315584791824,21151600,,155.1611852098599,0.22557922467791514,155.29380810546877,0.0
2024-04-24,158.37281799316406,158.81072677485923,156.42213756184464,156.74062219805325,22779100,,155.65528256113745,0.46506827906790704,155.90961008300783,0.0
2024-04-25,155.2577362060547,155.74541020347255,150.15214040585292,150.60995836120296,57109700,,155.5941215834324,0.3989056773639561,155.77923530761723,0.0
2024-04-26,171.13182067871094,173.8786977049699,168.84276155222324,173.54030395897186,64665300,,157.9845368288599,1.60883168037347,158.84975238183597,0.0
2024-04-29,165.35940551757812,168.74323647348305,164.42389105822426,168.2555625642054,45610000,,159.11913201173962,2.077967576653805,160.1516830089844,0.0
2024-04-30,162.00546264648438,167.3001564313842,161.82632640780892,164.8219988264117,33562900,,159.56318287862342,2.154292650100672,160.5224389364844,0.0
2024-05-01,163.080322265625,166.3248050727695,162.31398182603573,163.51823108824746,33493200,,160.10428124585445,2.275284940509323,161.03401560231254,0.0
2024-05-02,165.82717895507812,165.9366561572897,163.1101731735162,164.00588469256783,24294500,,160.98472704727348,2.5632727678740537,161.99264827286567,0.0
2024-05-03,166.44424438476562,167.16081969689057,162.27417880581723,166.7627138644963,34662400,,161.82465279150304,2.808917763557986,162.88296749524565,0.0
2024-05-06,167.30015563964844,167.3399586304374,165.2399977875199,166.66320148373052,21871300,65.37621451191245,162.66703784506387,3.0376420310667243,163.7664051241262,0.0
2024-05-07,170.43515014648438,170.94271797332505,167.58875812637166,167.69823532661383,28039700,67.84262289170746,163.8621320452824,3.4323099844343403,165.10015412859784,0.0
2024-05-08,168.5740509033203,169.34037610962505,167.93709679670465,168.1958541822666,19569100,64.6762068089217,164.5870426388267,3.5539443674251174,165.79493348354234,0.0
