Date,Entry_Price,Exit_Price,Return_%,Ticker
2024-10-30,126.26,132.56,4.99,MMM
2024-10-31,127.16,131.72,3.58,MMM
2024-11-01,125.93,132.97,5.6,MMM
2024-11-08,132.97,129.15,-2.87,MMM
2024-11-11,131.65,129.53,-1.61,MMM
2024-11-12,129.02,127.56,-1.13,MMM
2024-11-13,130.11,127.21,-2.23,MMM
2024-11-14,130.97,126.7,-3.27,MMM
2024-11-15,129.15,127.79,-1.06,MMM
2024-11-18,129.53,129.68,0.12,MMM
2024-11-29,132.87,132.46,-0.31,MMM
2024-12-02,132.24,130.84,-1.05,MMM
2024-12-03,130.51,129.13,-1.05,MMM
2024-12-04,129.81,129.13,-0.52,MMM
2024-12-05,132.68,129.11,-2.69,MMM
2024-12-06,132.46,129.28,-2.4,MMM
2024-12-09,130.84,128.83,-1.54,MMM
2025-03-19,153.21,152.68,-0.35,MMM
2025-03-20,151.27,148.44,-1.87,MMM
2025-03-21,150.36,144.84,-3.67,MMM
2025-04-07,128.55,136.01,5.8,MMM
2025-04-08,127.16,135.26,6.37,MMM
2025-04-09,138.32,130.46,-5.68,MMM
2024-11-18,71.79,75.05,4.55,AOS
2024-11-19,71.05,73.53,3.49,AOS
2024-11-20,71.39,73.73,3.28,AOS
2024-11-26,73.53,73.65,0.16,AOS
2024-11-27,73.73,73.23,-0.67,AOS
2024-11-28,,71.95,,AOS
2024-11-29,74.11,72.24,-2.52,AOS
2024-12-02,74.27,73.52,-1.02,AOS
2024-12-03,73.65,72.61,-1.41,AOS
2024-12-04,73.23,72.51,-0.98,AOS
2024-12-05,71.95,72.26,0.43,AOS
2024-12-06,72.24,72.12,-0.17,AOS
2024-12-09,73.52,71.53,-2.71,AOS
2024-12-10,72.61,70.45,-2.97,AOS
2024-12-11,72.51,68.56,-5.45,AOS
2024-12-12,72.26,68.09,-5.77,AOS
2024-12-13,72.12,68.37,-5.2,AOS
2024-12-24,68.54,66.99,-2.26,AOS
2024-12-26,68.54,68.25,-0.42,AOS
2024-12-27,68.08,68.55,0.69,AOS
2024-12-30,67.68,67.96,0.41,AOS
2024-12-31,67.87,68.33,0.69,AOS
2025-01-02,66.99,,,AOS
2025-01-03,68.25,67.24,-1.49,AOS
2025-01-06,68.55,68.28,-0.39,AOS
2025-01-07,67.96,70.89,4.32,AOS
2025-01-08,68.33,70.59,3.31,AOS
2025-01-09,,71.04,,AOS
2025-01-10,67.24,71.45,6.26,AOS
2025-01-13,68.28,,,AOS
2025-01-14,70.89,72.32,2.02,AOS
2025-01-15,70.59,70.61,0.03,AOS
2025-01-28,69.52,65.66,-5.55,AOS
2025-01-29,68.87,65.64,-4.69,AOS
2025-02-13,66.0,66.79,1.2,AOS
2025-02-14,66.22,65.98,-0.36,AOS
2025-02-20,66.79,65.94,-1.27,AOS
2025-02-21,65.98,66.48,0.76,AOS
2025-02-24,66.23,66.38,0.23,AOS
2025-02-25,66.99,65.61,-2.06,AOS
2025-02-26,66.16,66.5,0.51,AOS
2025-02-27,65.94,68.23,3.47,AOS
2025-02-28,66.48,69.41,4.41,AOS
2025-03-03,66.38,69.61,4.87,AOS
2025-03-04,65.61,67.11,2.29,AOS
2025-03-05,66.5,65.64,-1.29,AOS
2025-03-06,68.23,65.45,-4.07,AOS
2025-03-07,69.41,66.85,-3.69,AOS
2025-03-11,67.11,67.66,0.82,AOS
2025-03-12,65.64,67.6,2.99,AOS
2025-03-13,65.45,66.71,1.93,AOS
2025-03-14,66.85,66.5,-0.52,AOS
2025-03-17,67.49,66.37,-1.66,AOS
2025-03-18,67.66,66.73,-1.37,AOS
2025-03-19,67.6,67.35,-0.37,AOS
2025-03-20,66.71,66.9,0.28,AOS
2025-03-21,66.5,65.61,-1.34,AOS
2025-03-24,66.37,65.36,-1.52,AOS
2025-03-27,66.9,63.66,-4.84,AOS
2025-03-28,65.61,61.99,-5.52,AOS
2025-03-31,65.36,60.64,-7.22,AOS
2025-04-04,61.99,64.5,4.05,AOS
2025-04-07,60.64,65.2,7.52,AOS
2025-04-08,59.63,63.85,7.08,AOS
2025-04-09,62.56,62.86,0.48,AOS
2025-04-15,63.85,63.81,-0.06,AOS
