Ticker,Signal
MMM,No Signal
AOS,No Signal
ABT,No Signal
ABBV,No Signal
ACN,Buy
ADBE,Buy
AMD,No Signal
AES,No Signal
AFL,No Signal
A,Buy
APD,No Signal
ABNB,No Signal
AKAM,Buy
ALB,No Signal
ARE,No Signal
ALGN,No Signal
ALLE,No Signal
LNT,No Signal
ALL,No Signal
GOOGL,No Signal
GOOG,No Signal
MO,No Signal
AMZN,No Signal
AMCR,No Signal
AEE,No Signal
AEP,No Signal
AXP,No Signal
AIG,No Signal
AMT,No Signal
AWK,No Signal
AMP,No Signal
AME,Buy
AMGN,No Signal
APH,No Signal
ADI,No Signal
ANSS,No Signal
AON,No Signal
APA,No Signal
APO,No Signal
AAPL,No Signal
AMAT,No Signal
APTV,No Signal
ACGL,No Signal
ADM,No Signal
ANET,No Signal
AJG,No Signal
AIZ,No Signal
T,No Signal
ATO,No Signal
ADSK,No Signal
ADP,No Signal
AZO,No Signal
AVB,No Signal
AVY,No Signal
AXON,No Signal
BKR,No Signal
BALL,No Signal
BAC,Buy
BAX,No Signal
BDX,No Signal
BRK.B,No Signal
BBY,No Signal
TECH,No Signal
BIIB,No Signal
BLK,No Signal
BX,No Signal
BK,No Signal
BA,No Signal
BKNG,No Signal
BSX,No Signal
BMY,No Signal
AVGO,No Signal
BR,No Signal
BRO,No Signal
BF.B,No Signal
BLDR,No Signal
BG,No Signal
BXP,No Signal
CHRW,No Signal
CDNS,No Signal
CZR,No Signal
CPT,No Signal
CPB,No Signal
COF,No Signal
CAH,No Signal
KMX,No Signal
CCL,No Signal
CARR,No Signal
CAT,No Signal
CBOE,No Signal
CBRE,No Signal
CDW,No Signal
COR,No Signal
CNC,No Signal
CNP,No Signal
CF,No Signal
CRL,No Signal
SCHW,No Signal
CHTR,No Signal
CVX,No Signal
CMG,No Signal
CB,No Signal
CHD,No Signal
CI,No Signal
CINF,No Signal
CTAS,No Signal
CSCO,No Signal
C,Buy
CFG,No Signal
CLX,No Signal
CME,No Signal
CMS,No Signal
KO,No Signal
CTSH,Buy
CL,No Signal
CMCSA,No Signal
CAG,No Signal
COP,No Signal
ED,No Signal
STZ,No Signal
CEG,No Signal
COO,No Signal
CPRT,No Signal
GLW,No Signal
CPAY,No Signal
CTVA,No Signal
CSGP,No Signal
COST,No Signal
CTRA,No Signal
CRWD,No Signal
CCI,No Signal
CSX,No Signal
CMI,Buy
CVS,No Signal
DHR,Buy
DRI,No Signal
DVA,No Signal
DAY,No Signal
DECK,No Signal
DE,No Signal
DELL,No Signal
DAL,No Signal
DVN,No Signal
DXCM,No Signal
FANG,No Signal
DLR,No Signal
DFS,No Signal
DG,No Signal
DLTR,No Signal
D,No Signal
DPZ,No Signal
DASH,No Signal
DOV,Buy
DOW,No Signal
DHI,No Signal
DTE,No Signal
DUK,No Signal
DD,No Signal
EMN,No Signal
ETN,No Signal
EBAY,No Signal
ECL,No Signal
EIX,No Signal
EW,No Signal
EA,No Signal
ELV,No Signal
EMR,No Signal
ENPH,No Signal
ETR,No Signal
EOG,No Signal
EPAM,Buy
EQT,No Signal
EFX,No Signal
EQIX,No Signal
EQR,No Signal
ERIE,No Signal
ESS,No Signal
EL,No Signal
EG,No Signal
EVRG,No Signal
ES,No Signal
EXC,No Signal
EXE,No Signal
EXPE,Buy
EXPD,No Signal
EXR,No Signal
XOM,No Signal
FFIV,No Signal
FDS,No Signal
FICO,No Signal
FAST,No Signal
FRT,No Signal
FDX,No Signal
FIS,No Signal
FITB,No Signal
FSLR,No Signal
FE,No Signal
FI,No Signal
F,No Signal
FTNT,No Signal
FTV,No Signal
FOXA,No Signal
FOX,No Signal
BEN,No Signal
FCX,No Signal
GRMN,No Signal
IT,No Signal
GE,No Signal
GEHC,No Signal
GEV,No Signal
GEN,No Signal
GNRC,No Signal
GD,No Signal
GIS,No Signal
GM,No Signal
GPC,No Signal
GILD,No Signal
GPN,No Signal
GL,No Signal
GDDY,No Signal
GS,No Signal
HAL,No Signal
HIG,No Signal
HAS,No Signal
HCA,No Signal
DOC,No Signal
HSIC,No Signal
HSY,No Signal
HES,No Signal
HPE,No Signal
HLT,Buy
HOLX,No Signal
HD,No Signal
HON,No Signal
HRL,No Signal
HST,No Signal
HWM,No Signal
HPQ,Buy
HUBB,No Signal
HUM,No Signal
HBAN,No Signal
HII,No Signal
IBM,No Signal
IEX,No Signal
IDXX,No Signal
ITW,No Signal
INCY,No Signal
IR,Buy
PODD,No Signal
INTC,No Signal
ICE,No Signal
IFF,No Signal
IP,No Signal
IPG,No Signal
