Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2024-10-21,142.89405822753906,143.90947244461256,142.3863587140643,143.26240354370606,547100,,,J
2024-10-22,141.11212158203125,142.74474093488155,140.72387719904015,142.74474093488155,482100,,,J
2024-10-23,140.74380493164062,141.71939074821296,140.25600442829165,140.84334582468847,574700,,,J
2024-10-24,141.11212158203125,141.699462922175,139.76819053853367,140.9229741561928,392900,,,J
2024-10-25,140.17445373535156,142.04982030639616,139.55596801715978,142.04982030639616,450700,,,J
2024-10-28,140.85276794433594,141.30165829204358,140.1943873163563,140.85276794433594,458600,,,J
2024-10-29,142.478759765625,143.19699038692582,139.9649525910721,140.70313829109384,669900,,,J
2024-10-30,141.05227661132812,143.67581403871435,141.02235160214826,142.32912774055603,638000,,,J
2024-10-31,140.2342987060547,141.65080492879068,139.93503339786744,140.543533943384,885500,,,J
2024-11-01,139.2766571044922,141.5211241539437,139.05719688640008,141.04230877868196,657400,,,J
2024-11-04,139.49610900878906,140.74303507305797,138.93748856739904,139.47616915107187,642400,,,J
2024-11-05,141.34156799316406,141.39144808080692,139.65572149118935,139.65572149118935,398700,,,J
2024-11-06,147.25698852539062,148.523869779712,145.351696900309,146.06991237273098,739700,,,J
2024-11-07,144.49380493164062,147.00759703124996,144.19453961846824,146.73827194853433,471000,58.098931214929806,,J
2024-11-08,146.0699005126953,146.44897090949348,143.8952687487313,144.6434243921389,850900,62.33066306620911,,J
2024-11-11,146.51881408691406,147.99517037533965,146.1297737399213,147.1672095914799,570700,63.46253254900418,,J
2024-11-12,146.7482452392578,147.3767008891886,146.0100594793592,146.63851512929,502200,64.05695819047185,,J
2024-11-13,148.8829803466797,150.16980141915312,146.99762864159248,147.31683381672457,862100,69.09502357680188,,J
2024-11-14,140.26422119140625,148.9827338034958,139.52603547399306,148.14478791139294,1452100,42.930967050182375,,J
2024-11-15,139.6656951904297,140.93257638868167,138.54845425914573,139.87518547567848,1031800,41.748677126420276,143.12576910224521,J
2024-11-18,140.00486755371094,141.4911937122302,139.19684666106596,140.13453751668433,809700,42.7114923428892,142.82854038333718,J
2024-11-19,133.19166564941406,139.15695598824598,130.76763333972167,136.50349353278557,1928100,31.461884751798138,141.9107427896302,J
2024-11-20,132.17416381835938,135.29647157785465,131.55569335658032,135.08698130010643,1213100,30.18330437539511,140.9834495542711,J
2024-11-21,135.09695434570312,135.9249151043313,131.91481171792404,132.72281739695737,1034900,37.980185882531906,140.4228309629789,J
2024-11-22,137.022216796875,137.89007249744134,135.0371049528179,136.17430095472986,657100,42.53277837360701,140.0989629471595,J
2024-11-25,138.9574432373047,142.8977265445416,136.7029911781335,137.41125187791,1205900,46.76304784398275,139.99024678431618,J
2024-11-26,140.34402465820312,140.41384460266318,137.85017253255808,138.95744348519509,953500,49.624368978004306,140.02393991516257,J
2024-11-27,140.86276245117188,142.44884888834875,139.90511645402228,140.65327215698497,711700,50.69208859570889,140.10382777573489,J
2024-11-29,140.8826904296875,141.55104097475217,139.855224568635,140.8826904296875,1002600,50.73528749841084,140.1780051713494,J
2024-12-02,139.5260467529297,140.90265812434816,138.98738134135152,140.90265812434816,816900,47.67319967948236,140.1159138934047,J
