Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2024-10-21,317.41949462890625,317.6892962040319,313.54218342042026,314.35161864218867,515300,,,PWR
2024-10-22,312.75274658203125,315.6807053424289,310.45435537344747,314.6414187410791,497400,,,PWR
2024-10-23,306.4171142578125,314.7712953420882,305.07804826807217,312.942579314058,940200,,,PWR
2024-10-24,309.6548767089844,310.7541191646292,306.71691528043925,308.6155901603391,562700,,,PWR
2024-10-25,307.9560546875,310.9139910560504,306.16728892401886,310.72412053105796,671400,,,PWR
2024-10-28,313.1424560546875,315.08111177862264,309.6848664682065,310.50430455696124,767700,,,PWR
2024-10-29,313.21240234375,313.81199190918585,309.55493954062246,311.7834024018755,578300,,,PWR
2024-10-30,311.4136657714844,315.6607153456308,310.74411747902985,311.12385855567044,923000,,,PWR
2024-10-31,301.42059326171875,307.10664532479393,293.0564091521156,298.93233174425865,1423200,,,PWR
2024-11-01,303.289306640625,309.3551000925717,301.48056560416,305.3078933535681,913100,,,PWR
2024-11-04,304.1087341308594,308.46569257651345,301.3506404932012,304.54843110197567,713400,,,PWR
2024-11-05,314.401611328125,315.7506803664422,306.3771863254056,307.42647579805026,839100,,,PWR
2024-11-06,310.604248046875,311.9732921662197,297.87307092662513,309.7848099401568,2547000,,,PWR
2024-11-07,320.6372375488281,320.76715217949544,311.1438326501888,311.93329275443386,1075200,59.66876614955592,,PWR
2024-11-08,330.750244140625,333.00865450751303,318.96842023823217,319.757880357976,1305500,67.88394881945617,,PWR
2024-11-11,329.46112060546875,334.76743178600725,326.8828946498538,334.76743178600725,1055400,66.03738420634696,,PWR
2024-11-12,327.04278564453125,331.0899922771482,322.4259979050175,328.9214853559021,606500,62.5973710319958,,PWR
2024-11-13,326.653076171875,333.5782578641723,324.8842854348142,328.80157748595553,941800,62.036546441743084,,PWR
2024-11-14,323.6451721191406,328.1520511411586,322.6358634787418,326.8529352730068,779400,57.73690580042564,,PWR
2024-11-15,323.10552978515625,325.0641911038276,319.7778549010054,320.1475931663119,902000,56.97397043139789,318.63886766079474,PWR
2024-11-18,328.1820373535156,331.8194947837983,321.48667597025144,323.0855714270721,912800,62.053770107505876,319.5477409648634,PWR
2024-11-19,330.55035400390625,332.5789434518789,322.81573727556383,324.5945002866118,823500,64.17856820640338,320.5956088733437,PWR
2024-11-20,332.1092834472656,332.7888040670874,327.3825560696496,332.04932753942205,750500,65.54616471511619,321.6921493089553,PWR
2024-11-21,339.7739562988281,342.04236936249595,334.46764522973876,335.68679945914937,988400,71.33974399844799,323.4142261651337,PWR
2024-11-22,341.6826477050781,343.4614107839773,337.70539969882384,340.52344933396296,853400,72.57643192317056,325.1540758356046,PWR
2024-11-25,342.68194580078125,344.21088239891526,336.81599535270146,343.07165919038044,1231500,73.22777316233775,326.823396784669,PWR
2024-11-26,346.359375,349.9468789409916,341.422802213002,345.9196780354292,851400,75.53099063618126,328.6839661385101,PWR
2024-11-27,343.70123291015625,348.78769567814794,340.513445027633,347.69845603593916,534400,70.79028830030192,330.114182021524,PWR
2024-11-29,344.28082275390625,348.25807081102334,343.7511919005056,347.0289137000477,370800,71.21453455826031,331.4633859007985,PWR
2024-12-02,342.0923156738281,346.95896017514525,341.5327069071255,344.76047537996317,650800,67.24307462530959,332.47566492680136,PWR
2024-12-03,339.5041198730469,343.24154405093896,338.29496847545363,341.91245034845196,785600,62.783811700535516,333.1450415883486,PWR
2024-12-04,333.4283752441406,339.0144909790402,329.78091519139707,339.0144909790402,1179300,53.76939315801505,333.17202574604306,PWR
2024-12-05,334.7374572753906,338.8545921963942,329.90082097523356,333.2485014268004,1172700,55.2599167721162,333.32111446312376,PWR
