Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2024-10-21,1072.2926025390625,1081.2137192753469,1057.7535344410696,1067.4828711965417,83400,,,TPL
2024-10-22,1089.416259765625,1093.4277596055751,1070.047361579941,1081.2137097770863,69900,,,TPL
2024-10-23,1081.9620361328125,1088.6079550792526,1064.1199260163892,1081.383309233226,59400,,,TPL
2024-10-24,1087.6600341796875,1091.8611949008612,1081.8324448015767,1086.4925916805798,38800,,,TPL
2024-10-25,1095.6829833984375,1104.5241916720656,1086.043421850187,1097.5889696187633,55600,,,TPL
2024-10-28,1087.9993896484375,1090.0150063873007,1065.4073554605645,1073.5001535073313,46300,,,TPL
2024-10-29,1106.5499267578125,1106.5499267578125,1085.5046570130285,1089.5559892916303,48800,,,TPL
2024-10-30,1151.1851806640625,1155.1767036854528,1114.5430285624882,1114.5430285624882,100300,,,TPL
2024-10-31,1163.5289306640625,1171.6117402111558,1141.4558137987149,1157.5416462867174,90100,,,TPL
2024-11-01,1170.134765625,1187.3881604931505,1153.7096896293674,1161.133862959105,112300,,,TPL
2024-11-04,1205.0206298828125,1237.421906046781,1170.454030742507,1172.2103103708164,140100,,,TPL
2024-11-05,1240.515380859375,1246.2930271141727,1206.2082385084339,1206.2082385084339,95300,,,TPL
2024-11-06,1326.8021240234375,1357.1776757031878,1284.6516532366632,1304.2800103478053,205200,,,TPL
2024-11-07,1332.4801025390625,1334.6154599892454,1241.43335768981,1251.9310818801566,191000,96.55188774971371,,TPL
2024-11-08,1371.14794921875,1414.7153308462366,1336.1621950374458,1336.1621950374458,164200,97.10311735202198,,TPL
2024-11-11,1396.9132080078125,1398.5097927298532,1350.481790838427,1376.3069476504454,95500,97.40123479307107,,TPL
2024-11-12,1403.7786865234375,1418.2080027046713,1382.1345904399757,1403.0702301944202,94000,97.47577749052768,,TPL
2024-11-13,1363.524169921875,1412.7296031742223,1354.1938880646096,1404.5270531754686,94500,82.52825516737877,,TPL
2024-11-14,1358.3150634765625,1372.0658877790313,1323.5489364692867,1372.0658877790313,101200,80.80152156115201,,TPL
2024-11-15,1357.057861328125,1360.4008592225246,1336.9306849658078,1344.734058676387,63200,80.36448936405918,1257.1314697880641,TPL
2024-11-18,1395.78564453125,1404.706639618145,1365.3802485014307,1374.081739066689,83400,83.35170086419052,1270.336629287415,TPL
2024-11-19,1417.1202392578125,1418.6470258729844,1383.7610358395632,1383.7610358395632,79500,84.72990035750742,1284.3160207131673,TPL
2024-11-20,1447.62548828125,1453.742501868022,1411.4922669762861,1411.4922669762861,95000,86.45634606039287,1299.869303338699,TPL
2024-11-21,1512.3182373046875,1522.8059736975977,1439.602672163986,1455.6984934809732,199800,89.23579514357519,1320.1025351449834,TPL
2024-11-22,1726.3336181640625,1745.7323605829924,1583.4769824519753,1605.580064411022,735700,93.78199185991693,1358.7912097182289,TPL
2024-11-25,1610.5794677734375,1765.3906959164633,1556.454427746352,1732.4106896887758,4569700,75.26619184482489,1382.7710438187248,TPL
2024-11-26,1568.4388427734375,1615.139582737797,1530.140179676409,1611.3776751192952,319600,69.85873768118783,1400.4536913382212,TPL
2024-11-27,1633.22119140625,1651.0234695668187,1534.0617979808324,1569.6162897341812,422300,73.06269978131061,1422.6220246780335,TPL
2024-11-29,1596.6988525390625,1688.9230282237327,1589.6339012238088,1672.3382563048528,136800,68.63327594559391,1439.2007701886077,TPL
2024-12-02,1498.6688232421875,1609.154869353478,1477.3427704489845,1601.912993027748,230200,58.39929987816663,1444.8643942889485,TPL
2024-12-03,1568.1708984375,1572.346146335196,1512.26352188739,1512.26352188739,209700,62.65143372038246,1456.607870874525,TPL
2024-12-04,1386.3648681640625,1563.2464046770751,1335.9713246423087,1563.2464046770751,322500,48.644696521337636,1449.918061092576,TPL
2024-12-05,1345.131103515625,1407.8107920941952,1324.9237907549586,1399.2703236021084,213600,46.12597082234117,1439.938350847152,TPL
2024-12-06,1336.940185546875,1341.5451272266018,1268.8366512467705,1341.5451272266018,185800,45.62064548681629,1430.129001770935,TPL
2024-12-09,1325.5531005859375,1372.760155862734,1317.252353350927,1350.125512082515,171500,44.884461711088555,1420.1693921342687,TPL
2024-12-10,1294.6376953125,1335.2121756718452,1291.9707650884652,1328.5097332543824,157200,42.862160059876594,1408.2139924369574,TPL
2024-12-11,1205.6475830078125,1316.762931276153,1194.0606049397636,1316.762931276153,267000,37.60929120580697,1388.9219534437054,TPL
2024-12-12,1195.5189208984375,1220.5109058565374,1140.9301310531644,1198.6554172054828,257100,37.052698691580154,1370.5026170108226,TPL
2024-12-13,1197.62646484375,1213.1790861622626,1171.5257399391883,1202.1814136636194,125600,37.26075970380591,1354.0382215663394,TPL
2024-12-16,1214.5775146484375,1237.6117350903223,1173.6834453035744,1199.5544494633564,205700,39.00697742547185,1340.7562494789202,TPL
2024-12-17,1202.311279296875,1204.8583487477506,1176.100692144723,1199.4644972360013,204600,38.178879510966475,1327.5710142234873,TPL
2024-12-18,1113.211181640625,1219.242262389148,1108.3366449211203,1214.2178693615592,166600,32.74150120471353,1307.1557920727384,TPL
2024-12-19,1095.1015625,1147.7125917826645,1090.5267381015874,1136.7249168395754,179600,31.751697355614326,1286.960151161049,TPL
2024-12-20,1131.850341796875,1134.5672647911526,1087.5300629602805,1087.5300629602805,553800,35.98108181629105,1272.1877883644609,TPL
2024-12-23,1138.1732177734375,1153.4161289696096,1101.9039658878878,1139.0023658106663,94700,36.70784285553257,1259.4244959272205,TPL
2024-12-24,1159.8988037109375,1168.3194113803295,1132.7293306211268,1146.443926375808,57100,39.25939212336369,1249.945858573289,TPL
2024-12-26,1165.702392578125,1168.189592815842,1145.934527957149,1158.120931200513,69600,39.95575446531515,1241.9226713356543,TPL
2024-12-27,1143.8369140625,1167.6901619399491,1136.355316192777,1163.6946438494788,88200,38.17978047622134,1232.581170642973,TPL
2024-12-30,1106.189208984375,1153.186417601383,1100.066072602383,1141.1299953530963,277000,35.27268070349291,1220.5438409612016,TPL
2024-12-31,1104.720703125,1137.0544267940732,1102.2135058926685,1110.7539741616579,129400,35.16022021747088,1209.5130659291824,TPL
2025-01-02,1178.7576904296875,1185.7299718464617,1117.9758965212598,1119.3044843094615,137300,44.72824856814876,1206.5839825482783,TPL
2025-01-03,1209.673095703125,1223.9769967945374,1186.569007502715,1186.569007502715,113800,48.16772310440876,1206.878183801121,TPL
2025-01-06,1225.255615234375,1238.211053606313,1213.9283553902535,1217.4044366806743,125900,49.86131674965598,1208.6284153661927,TPL
2025-01-07,1256.880126953125,1291.0617542301884,1222.498650615643,1237.8114294774682,175700,53.203233351780455,1213.22381646971,TPL
2025-01-08,1274.51025390625,1288.1549820519444,1238.6105831140876,1252.5649005001233,210000,55.003822383244255,1219.0606200350946,TPL
2025-01-10,1299.472412109375,1313.386735802587,1268.5770143224045,1286.5068532711052,139400,57.497414833481294,1226.7188859469309,TPL
2025-01-13,1299.1126708984375,1337.5895291397705,1285.6079223450308,1298.5433632283923,155300,57.44800452740435,1233.6135321327888,TPL
2025-01-14,1326.8216552734375,1328.4897059608732,1283.6899858496618,1289.5234078480244,126700,60.27939751270328,1242.490496241422,TPL
2025-01-15,1373.4493408203125,1428.697425574275,1348.3874878163947,1348.3874878163947,197900,64.5536456400335,1254.9627671536973,TPL
2025-01-16,1391.4290771484375,1402.237021094564,1370.292753816984,1370.292753816984,125800,66.06983691392091,1267.9595585817679,TPL
2025-01-17,1411.217041015625,1415.7518711421426,1388.9919715950493,1391.4391776567097,118300,67.70700480852193,1281.6031283373734,TPL
2025-01-21,1416.071533203125,1424.6818695372958,1375.6069152722994,1414.413359106851,132100,68.11348714699196,1294.4096430864927,TPL
2025-01-22,1414.09375,1444.8991588933447,1403.4256635473355,1430.0058317672654,106700,67.73938160559597,1305.8081294592075,TPL
2025-01-23,1403.725341796875,1443.470672252463,1389.9907493404085,1430.4652422861388,118900,65.70206678895235,1315.133578253271,TPL
2025-01-24,1358.5361328125,1405.8230549499683,1356.907954324374,1397.9518794879755,127100,57.57460036838094,1319.2671548779595,TPL
2025-01-27,1254.3128662109375,1341.385231244326,1183.6621426430665,1330.257699605652,258300,44.04255887064885,1313.0810321477668,TPL
2025-01-28,1273.801025390625,1287.845329028458,1234.7048689666226,1258.0686740052477,144900,46.57126355520117,1309.340079123277,TPL
2025-01-29,1270.564697265625,1291.8707526319251,1261.5049140523508,1268.5769368594017,83900,46.19790256667791,1305.6471856130245,TPL
2025-01-30,1292.939697265625,1317.741832249018,1278.4359468931962,1291.3713881112872,90100,49.228485774786584,1304.436948627558,TPL
2025-01-31,1295.716552734375,1325.8227952134707,1287.2160785145768,1301.7297048436978,158000,49.60785731373258,1303.606434732969,TPL
2025-02-03,1331.306640625,1338.4985242205332,1274.5902335958463,1280.1539387360685,125000,54.31914202603715,1306.244549579829,TPL
2025-02-04,1355.7391357421875,1364.6491843564459,1304.2268540830692,1330.6072945705732,97200,57.272445050394644,1310.9583196905298,TPL
2025-02-05,1392.757568359375,1406.821869328372,1368.1651606959153,1370.8322127757365,76700,61.34964605505461,1318.748724325658,TPL
